表記,都道府県,島,郡・支庁,市町村,特別区,政令市の区,大字,丁目,字,省略可能な字,街区,住居番号,地番,枝番,脱落地等,建物名等,備考
香川県高松市林町字１４８,香川県,,,高松市,,,林町,,字,,,,148,,,,字名が「字」
石川県羽咋市一ノ宮町ケ５０,石川県,,,羽咋市,,,一ノ宮町,,ケ,,,,50,,,,字名が「ケ」
龍ケ崎市薄倉２３６４,茨城県,,,龍ケ崎市,,,薄倉町,,,,,,2364,,,,大字名の「町」が省略
宮城県仙台市太白区秋保湯元字寺田原40-7,宮城県,,,仙台市,,太白区,秋保町湯元,,寺田原,,,,40,7,,,大字名の途中の「町」が省略
鹿児島県伊佐市菱刈町前目２０１３番地,鹿児島県,,,伊佐市,,,菱刈前目,,,,,,2013,,,,大字名の途中に余分な「町」
富山県富山市水橋開発212,富山県,,,富山市,,,水橋開発,,,,,,212,,,,大字名に「町」を追加すると別の大字になる
富山県富山市水橋開発町９６,富山県,,,富山市,,,水橋開発町,,,,,,96,,,,大字名の「町」を省略すると別の大字になる
滝上町字滝上市街地３条通り2-9,北海道,,紋別郡,滝上町,,,字滝ノ上市街地三条通,二丁目,,,,,9,,,,大字名の「通」を「通り」と表記
愛知県春日井市上条町１,愛知県,,,春日井市,,,上条町,一丁目,,,,,,,,,大字名に「条」を含む
愛知県春日井市上町１,愛知県,,,春日井市,,,上ノ町,一丁目,,,,,,,,,大字名の「ノ」が省略
宮城県仙台市宮城野区福室字久保野２ー５,宮城県,,,仙台市,,宮城野区,福室,,久保野二番,,,,5,,,,字名の「番」がハイフンで省略
香川県綾歌郡宇多津町浜２の１２,香川県,,綾歌郡,宇田津町,,,浜二番丁,,,,12,,,,,,大字名の「番丁」がハイフンで省略
青森県十和田市東１６－４８,青森県,,,十和田市,,,東十六番町,,,,48,,,,,,大字名の「番町」がハイフンで省略
石川県白山市鹿島町１,石川県,,,白山市,,,鹿島町,,一号,,,,,,,,字名の「号」が省略
京都府南丹市園部町河原町４,京都府,,,南丹市,,,園部町河原町,,四号,,,,,,,,字名の「号」が省略
北海道北見市留辺蘂町温根湯温泉１,北海道,,,北見市,,,留辺蘂町温根湯温泉,,一区,,,,,,,,字名の「区」が省略
涌谷町涌谷八方谷１の16,宮城県,,遠田郡,涌谷町,,,涌谷,,八方谷一,,,,16,,,,字名と地番の間に余分な「の」
岩手県奥州市胆沢区小山字道場40-1,岩手県,,,奥州市,,,胆沢小山,,字道場,,,,40,1,,,大字名に余分な「区」
青森県八戸市南郷区大字島守字赤羽６,青森県,,,八戸市,,,南郷大字島守,,字赤羽,,,,6,,,,大字名に余分な「区」
静岡県駿東郡小山町竹之下字上ノ原５５４,静岡県,,駿東郡,小山町,,,竹之下,,,字上ノ原,,,554,,,,省略可能な字
千葉県八街市八街字七本松ろ９７－１,千葉県,,,八街市,,,八街ろ,,,,,,97,,,,大字名の途中に省略可能な字名
長野県千曲市礒部字下河原１１３７,長野県,,,千曲市,,,大字磯部,,,字下河原,,,1137,,,,省略可能な字
佐賀県嬉野市嬉野町大字下野字長波須ハ丙１２２４,佐賀県,,,嬉野市,,,嬉野町大字下野,,,字長波須ハ,,,丙1224,,,,地番に「ハ」「丙」を含む
東京都西多摩郡桧原村467-1,東京都,,西多摩郡,檜原村,,,,,,,,,467,1,,,大字が無い住所
高知県高岡郡佐川町字若枝甲４８５,高知県,,高岡郡,佐川町,,,,,,字若枝,,,甲485,,,,大字が無い
美馬市脇町猪尻西上野61-1,徳島県,,,美馬市,,,脇町大字猪尻,,西上野,,,,61,,,,省略できない字
福島県いわき市平上高久塚田97乙,福島県,,,いわき市,,,平上高久,,塚田,,,,97,,乙,,脱落地
竜ヶ崎市字米町3903,茨城県,,,龍ケ崎市,,,米町,,,,,,3903,,,,異体字
中央区中央１－１,千葉県,,,千葉市,,中央区,中央,一丁目,,,1,,,,,,複数の候補が存在する
中央区中央１－１,神奈川県,,,相模原市,,中央区,中央,一丁目,,,1,,,,,,複数の候補が存在する
東京都八丈島八丈町大賀郷2551番地2,東京都,八丈島,,八丈町,,,大賀郷,,,,,,2551,2,,,島名を含む
東京都三宅島三宅村阿古497番地,東京都,三宅島,,三宅村,,,阿古,,,,,,497,,,,島名を含む
新潟市北区東栄町1丁目1番14号,新潟県,,,新潟市,,北区,東栄町,一丁目,,,1,14,,,,,旧豊栄東栄町（とうえいちょう）、郵便番号950-3323
新潟市北区東栄町2番12,新潟県,,,新潟市,,北区,東栄町,,,,,,2,12,,,東栄町（ひがしさかえまち）、郵便番号950-3104
